001127875,bagleylrth,12272003,04141922,011
002247275,moyltwallace,10072011,12161921,01
001059830,tearacabolyn,05171992,08081908,01
002093845,sllivwini,63031988,09191895,21
001072506,averyaamos,09221994,12281906,0
001078394,brittgonarthur,09201991,12041916,01
001078400,gliddvnnoran,10001978,02051901,01
001688280,chappellalexander,09032005,06281984,0
002016229,bergevinclara,12001973,10151895,1
001240499,dwsonjanet,11281298,98091933,21
002102193,burbankfred,11000968,04171868,2
002564189,boardmanbrazndy,10072026,05081965,21
001229565,fhitneyeuarl,07511994,31101917,211
001524895,davolrose,01001974,08301885,1
001261296,kennedfred,02041988,08281915,0
002074080,chouinardremi,10009986,11221404,2
001187277,heobbsclayton,01214995,07021896,21
002072601,mitoulasvasiliaos,06001955,09151886,1
002345262,xeastmansandra,93231994,03300947,21
002145631,croiballan,02005975,07071822,21
001526393,hilledith,01001975,12171890,1
001162270,campbellchardlei,09121194,06131897,211
002124238,lemaymary,07001986,08011920,0
001303595,aolqepauline,03001966,12101938,211
001055426,kmptonkaru,54001968,08571908,211
002303175,otiszeorg,05042002,06081937,02
001051596,huckinslpla,11001986,01211900,02
002821726,hemingwaydavis,07132003,01031987,1
001129141,gregoioesrthur,02001961,05051917,22
002185185,quirionfrancois,10151996,08071922,1
002103938,chapmoanhnry,08004976,06071996,211
001303340,churchhillbernardx,12001962,04251887,01
002224483,roslonkaalexander,06162002,00041932,21
002468162,stygelsbtuce,09031997,12041956,211
002146430,sirardafredz,06112094,87121924,22
002076985,foleyptherese,06031989,03311916,1
002076499,allainalpahonse,11001962,02101967,2
001688280,chappellalexander,09232005,06281934,2
001162991,morissettemary,12201990,01061904,1
001364286,rolfpeisabel,12021998,04081907,1
002090793,chenalrdlucille,03172003,07191914,0
001325983,pblackmorebevely,06292002,12211942,22
002248109,tgckerqlanche,09001996,10101912,02
002181232,dowesedpa,10008989,10801898,211
001108082,stpierreroger,09151969,03171918,0
001163674,abrahamsonelizabetf,06192007,04131920,21
002032177,mccarthyruth,12001982,05231918,1
001264995,blomstrandemma,06271989,04071895,1
002328586,gnnvirzinia,11011990,06251944,011
001202777,richardsjohn,09001877,01151893,2
003011508,kemphlilma,09001968,08181887,02
001098295,weeneyfred,18001970,05148889,21
001162270,campbellcharles,09121994,06151897,0
001056986,bakcomggeorge,05001970,08141917,011
001629577,delaneykathi,06051999,78041963,2
001010617,zaremblukgabriel,10001977,04081894,1
001161634,gwiggindorothy,05852001,07271911,21
001145173,vikeerlhe,32261993,07481913,211
001052006,plourdeeannez,08001983,01031911,02
001052988,roletlen,03092000,08241909,02
002071459,hebertantoiynetat,07001971,01021900,02
002524723,mcntyzedennis,04001986,11031953,22
001169290,croteaugerard,01065998,10271023,2
002205704,letendoreleo,01001974,09021899,1
002123324,hompsonedward,12001976,08111885,01
001163196,loyejoywinfizld,02001987,04111921,02
002468162,styglelsbruce,09091997,12081956,0
002032598,ckhmielewskimjoseph,05001961,00000000,02
002059474,roussteaunestor,05181988,12261907,011
002220716,krahssedard,02152003,03261931,02
001075796,briggsjohn,08001975,02281888,1
001077828,qperrycharles,12006970,10411881,21
001017773,cdfffeejohn,11001977,10051900,011
001282466,cloughelinor,07001975,02181899,2
002038028,allardalexpader,03001966,08131901,22
001527283,mattsonethel,01192000,03111899,1
002349046,uscilkaagnes,07001972,10131898,1
002071649,tomasellisylnvia,05001890,05451912,21
002166983,nnighthcelen,04202002,11131923,02
002100467,amidkonherbrt,08001862,03251838,211
002145631,croieallan,02005975,07071822,211
001262917,zfrembamaryann,08182005,01141934,01
001201323,pikelorraine,09061993,12261925,1
002093904,dupontpirene,03001980,10230911,2
002109975,sylvestermary,12001972,10171887,1
001145485,allardimary,05001986,12301903,0
001181162,ncamonclayton,11152003,04161922,011
001071930,putnamlester,04001972,05151905,0
003013180,wzgghinhrold,09001967,03051904,02
002409019,frasizrmarjorie,13051988,01111492,21
002186528,grarlandverna,08202001,09101926,01
001010460,ueclairfrances,02191990,03171916,21
002363128,clarkgrace,02151967,12251889,1
001524002,strongdorothhy,01001986,08171900,1
001264995,blomstrandemma,06271989,04071895,1
002383059,berglundaloicw,03001977,08011891,011
002058901,astrinosjoyce,11001994,07141919,01
002246532,panovsaleksejs,07022001,03221923,0
002057490,turconteroert,83291993,09761914,21
001526393,hilledith,01001975,12171890,0
002145722,fariasallta,11061991,12301913,1
002308538,kiddearm,01074990,03141908,21
001168629,heimbachrobehrt,84211999,04141919,2
002072601,tmitoulasvwasiliaos,06001555,09153886,22
002098047,ruelkemax,09001963,04071883,1
002189929,brookswillipam,09222001,09121921,2
001102005,penletierjosehphr,05201980,10081910,011
001129316,russellxhlarvey,03301999,05161920,011
002142685,awkensendora,01801985,09281895,21
002208260,palreliroparica,07042044,12151979,22
002078186,laenennhalia,32261994,10141923,21
002102802,fotindorothlc,05102002,06161910,02
001228253,ferrettijames,10001981,10251898,0
001525069,hanifmery,01001276,07231811,22
001075796,bridgsjlhn,08001976,05281888,211
002143338,prentisseugeghe,02142005,03231923,02
001324688,dnnerda,28291998,12061922,22
001164209,hoodgaylie,04001977,10051890,1
002123336,averwelwinn,06001985,08051908,01
001101714,thebrgeedwin,01001976,09181917,01
001186813,kelleyirene,03001984,05181912,0
001057522,burgehgssmarguerite,17001985,04217913,22
001205260,howagrdjeremy,11472010,02231980,21
001401490,readucimd,92001966,38131871,211
001010617,zaremblukgabriel,10001977,04081894,1
003013340,davisleonaprd,08001981,06091917,1
002100814,crosbyrichard,07901976,17221912,2
002120560,okeefeanthony,02001963,01261896,1
002142839,hairaggaie,07141490,10141921,2
001325406,williapmsarthur,05161992,00051941,211
002567510,corbealarierose,10111994,08271936,02
002140073,doylejohn,12071997,10191922,1
001382493,jedrickjames,10132084,06391950,21
001324688,danngerda,08291998,12021922,1
002140708,fayjoseph,01001970,12139920,2
003013246,broawnjameu,04061969,26201879,21
003012146,bacelderbrtlett,03001970,01301901,011
001012694,jacvkonpatrick,02171999,03131917,02
001070211,guimonddorothy,01131998,08031914,0
001093458,duboishorace,01001972,08061882,1
002127994,rollinswilliam,06171994,10231925,2
001093513,davivsvcirgil,03271988,08291908,02
001016094,davifrank,09291905,12421911,21
001242291,beaudetfrancis,05231993,12171930,1
001202876,mitchelledihth,03151909,05111896,2
002099670,parkerellen,01015993,12131911,2
001052988,drotlena,03099000,08242909,22
002100144,lombardwilbiam,06001080,04091893,21
001281231,halstepdalice,01021996,12021904,2
002409198,kgllymary,04151977,02041883,211
001164068,collinsfrederick,01311988,10211921,1
001128972,thomasola,06001976,10041896,2
002463163,chasebeulah,05182008,05251909,2
001522426,levesquelouzse,10208989,04299894,21
001141384,simzardblonche,06001987,05211896,211
001012199,cbronjejnie,04001978,02061907,02
001162213,lordwoeodeveret,03189991,06241919,211
001148743,davidsonwentvieve,09201996,01271917,011
001281791,holmesethel,15241997,04031909,2
002032790,ctetreaultmar,02201999,07191915,011
002095775,phippardeileen,08881992,11011901,2
001120807,pagemaurice,12011999,12311917,1
001148743,davisongwnevieve,09201696,01271911,211
001098734,hillslymwan,04001984,03141894,01
001381820,riggthorine,09182001,05051948,01
001149663,cassjameps,08131995,21031919,2
002143036,hammerleonard,10092002,09261923,0
002223167,milnesgeorgette,08212010,07291931,01
002166822,elmobacbsra,09212093,08131923,22
001072994,sheldonlester,03772007,12141918,2
002128929,jotonettjoyce,05282003,10111926,02
001010796,jacksoncharle,07001979,08051893,01
001094632,piercecarrie,06001976,07031899,1
002264185,bilodeauthedore,08292001,10011935,02
002249766,faubertharray,02001975,07251897,1
002322193,nicholselizabeth,11021993,03171910,0
001245292,sgprolegrace,08001987,03041932,211
002167657,porpersella,44241993,01121914,22
002010978,crterdascrolmb,01001975,04211916,011
001162170,dwestpemily,08001976,05231884,01
002058901,kastrinosjoyce,11001994,07141919,0
002160974,willephyllis,10001942,02021914,21
002260267,radwanjoseph,05001979,04131910,0
001180109,robissondeline,06001979,11101914,011
001525448,burrimattie,05261998,02181902,0
001187739,brochurobert,03271991,09171923,2
001525069,hasfmaay,01001276,07231811,211
001090172,heathrufus,01001966,06081900,0
002059731,paquethermenegyl,06001975,12111891,01
002405923,paulalfed,01001978,01141898,01
002247275,moltwallace,10072011,12161921,011
001095005,zienkiewiczjozef,12001964,02261891,1
002384920,sonahuewinifred,12001987,16221898,211
001090871,massinghamarthur,09001900,01061904,2
001524706,guernmillia,05001982,09291906,01
